fdc_id,food_name,carbs_g,protein_g,fat_g,calories
167552,"Snacks, popcorn, caramel-coated, without peanuts",79.1,3.8,12.8,431.0
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",64.76,4.56,26.14,502.0
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",51.3,6.6,37.0,547.0
167555,"Snacks, pretzels, hard, plain, salted",80.39,10.04,2.93,384.0
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",70.9,7.5,16.7,457.0
167557,"Snacks, rice cakes, brown rice, sesame seed",81.5,7.6,3.8,392.0
167558,"Snacks, tortilla chips, plain, white corn, salted",67.78,7.1,20.68,472.0
167559,"Snacks, tortilla chips, nacho cheese",60.81,7.36,27.42,519.0
167560,"Snacks, tortilla chips, ranch-flavor",62.74,7.19,24.63,501.0
167561,"Snacks, trail mix, regular",44.9,13.8,29.4,462.0
167562,"Candies, ALMOND JOY Candy Bar",59.51,4.13,26.93,479.0
167563,"Candies, TWIZZLERS CHERRY BITES",79.38,2.97,1.7,338.0
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",80.89,2.0,7.5,388.0
167565,"Candies, NESTLE, BUTTERFINGER Bar",72.9,5.4,18.9,459.0
167566,"Candies, caramels, chocolate-flavor roll",87.73,1.59,3.31,387.0
167567,"Baking chocolate, unsweetened, liquid",36.2,12.1,47.7,472.0
167568,"Baking chocolate, unsweetened, squares",28.42,14.32,52.31,642.0
167569,"Candies, confectioner's coating, yogurt",63.94,5.87,27.0,522.0
167570,"Candies, confectioner's coating, peanut butter",46.88,18.3,29.8,529.0
167571,"Candies, white chocolate",59.24,5.87,32.09,539.0
167572,"Ice creams, vanilla, light",29.46,4.78,4.83,180.0
167573,"Ice creams, vanilla, rich",22.29,3.5,16.2,249.0
167574,"Desserts, flan, caramel custard, prepared-from-recipe",22.78,4.53,4.03,145.0
167575,"Ice creams, vanilla",23.6,3.5,11.0,207.0
167576,"Ice creams, vanilla, light, soft-serve",21.8,4.9,2.6,126.0
167577,"Sherbet, orange",30.4,1.1,2.0,144.0
167578,"Candies, fudge, peanut butter, prepared-from-recipe",77.75,3.78,6.59,387.0
167579,"Candies, fudge, vanilla, prepared-from-recipe",82.15,1.05,5.45,383.0
167580,"Candies, fudge, vanilla with nuts",74.61,3.0,13.69,435.0
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",53.0,9.7,34.0,512.0
167582,"Candies, NESTLE, BABY RUTH Bar",64.8,5.4,21.6,475.0
167583,"Candies, TWIZZLERS Strawberry Twists Candy",79.16,2.56,2.32,348.0
167584,"Syrups, table blends, pancake, with butter",72.43,0.0,0.09,291.0
167585,"Ice creams, chocolate, light",25.7,5.0,7.19,187.0
167586,"Candies, NESTLE, CHUNKY Bar",60.4,7.5,27.5,519.0
167587,"Candies, milk chocolate",59.4,7.65,29.66,535.0
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",19.74,2.76,1.7,105.0
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",18.43,2.9,1.73,101.0
167590,"Andrea's, Gluten Free Soft Dinner Roll",40.24,5.65,8.2,257.0
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",67.18,10.91,15.92,456.0
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",76.03,2.19,17.89,474.0
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",77.34,2.19,18.79,487.0
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",65.81,9.42,18.42,467.0
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",64.7,11.16,17.29,459.0
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",65.11,9.67,18.93,469.0
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",52.83,3.13,10.7,320.0
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",51.15,5.4,8.02,298.0
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",49.09,7.25,9.34,309.0
